Symbol,CompanyName,Year,Revenue,GrossProfit,NetProfit,OperatingProfit,TotalAssets,CurrentAssets,Debt,ShortTermDebt,Equity,EPS,BVPS,PE,ROS,ROEA,ROAA
BBC,CTCP Bibica,2024,1778300.0,619126.0,116177,132551,2190476,1173102,694688,681122,1495788,6195,79764,8.67,6.53,7.99,5.14
BBC,CTCP Bibica,2025,1780710.0,587435.0,128611,151913,2274021,1293662,688978,683371,1585043,6858,84524,10.06,7.23,8.35,5.76
TLI,CTCP May Quốc tế Thắng Lợi,2021,72972.0,11882.0,-4802,-5071,51000,48956,13242,12445,37757,-1601,12586,-7.0,-6.58,-11.96,-8.23
TLI,CTCP May Quốc tế Thắng Lợi,2022,96258.0,17380.0,-4542,-4132,42096,39914,8881,8648,33215,-1514,11072,-2.77,-4.72,-12.8,-9.76
TLI,CTCP May Quốc tế Thắng Lợi,2023,58110.0,9180.0,-2573,-2187,37448,35867,6806,6801,30642,-858,10214,-8.16,-4.43,-8.06,-6.47
TLI,CTCP May Quốc tế Thắng Lợi,2024,52549.0,9969.0,-979,-440,35577,34387,5913,5908,29663,-326,9888,-17.77,-1.86,-3.25,-2.68
PXC,CTCP Phát triển Đô thị Dầu khí,2017,161048.0,6623.0,-72741,-65977,271616,262559,361626,361626,-90010,-2592,-3207,-0.15,-45.17,135.61,-22.32
PXC,CTCP Phát triển Đô thị Dầu khí,2018,9652.0,-60137.0,-81694,-82387,195180,186806,366884,366884,-171704,-2910,-6117,-0.14,-846.42,62.43,-35.0
PXC,CTCP Phát triển Đô thị Dầu khí,2021,5495.0,0.0,-1841,-1595,25347,18702,207234,207234,-181887,-66,-6480,-7.63,-33.49,2.02,-14.52
PXC,CTCP Phát triển Đô thị Dầu khí,2022,738.0,-884.0,-2862,-2516,18281,12146,203030,203030,-184749,-102,-6582,-4.9,-387.83,1.56,-13.12
TBH,CTCP Tổng Bách Hóa,2018,23757.0,22013.0,-4095,-5530,88242,76930,350894,350842,-262652,-1313,-84243,0.0,-17.24,1.58,-4.69
TBH,CTCP Tổng Bách Hóa,2019,21206.0,17045.0,-113252,-114472,27294,18271,403083,403031,-375789,-36324,-120530,0.0,-534.05,35.48,-196.05
TBH,CTCP Tổng Bách Hóa,2020,18625.0,9084.0,-5487,-3761,926588,212535,1307865,407813,-381277,-1760,-122290,0.0,-29.46,1.45,-1.15
TBH,CTCP Tổng Bách Hóa,2021,4511.0,-2390.0,709103,786121,1441439,411209,248309,248237,1193131,7615,12813,12.74,15719.9,174.69,59.89
